,index,Unnamed: 0,Make,Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price,Negotiable
180,253,6308,Hyundai,Azera,2020,Other,Grey,Semi Full,3.5,Gas,Automatic,37000,Tabouk,1846,False
181,257,5265,Chevrolet,Caprice,2013,Other,Silver,Standard,6.0,Gas,Automatic,215,Abha,42000,False
182,259,3680,Nissan,Altima,2014,Saudi,Brown,Semi Full,2.5,Gas,Automatic,139000,Riyadh,36000,False
183,260,396,Lexus,LX,2018,Other,White,Full,5.7,Gas,Automatic,107000,Riyadh,365000,False
184,261,4413,Ford,Expedition,2013,Saudi,Black,Standard,5.4,Gas,Automatic,270000,Riyadh,49500,False
185,262,2776,Toyota,Hilux,2018,Saudi,White,Full,2.4,Diesel,Manual,83339,Riyadh,136500,False
186,263,4321,GMC,Yukon,2013,Saudi,White,Full,5.3,Gas,Automatic,19400,Yanbu,95000,False
187,264,509,Toyota,Furniture,2019,Saudi,Grey,Full,3.0,Gas,Automatic,18448,Riyadh,130000,False
188,266,5581,Toyota,Hilux,2020,Gulf Arabic,White,Semi Full,2.7,Gas,Manual,15000,Riyadh,105000,False
189,267,1930,Toyota,Hiace,2016,Other,White,Standard,2.7,Gas,Manual,99999,Riyadh,69000,False
190,268,6144,Honda,Odyssey,2016,Saudi,Red,Full,6.0,Gas,Automatic,189000,Riyadh,57000,False
191,271,1457,Hyundai,Elantra,2020,Saudi,Grey,Standard,1.6,Gas,Automatic,24348,Riyadh,57500,False
192,272,518,Land Rover,Range Rover,2006,Saudi,Blue,Full,4.4,Gas,Automatic,289000,Riyadh,20000,False
193,273,3323,Nissan,Sentra,2016,Gulf Arabic,Silver,Standard,1.6,Gas,Automatic,93000,Qassim,33000,False
194,274,7267,Toyota,Aurion,2015,Saudi,Red,Full,3.5,Gas,Automatic,240000,Jeddah,55000,False
195,275,2645,Toyota,Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,50000,Jeddah,35000,False
196,276,5874,Hyundai,Azera,2011,Other,Grey,Semi Full,3.5,Gas,Automatic,447,Riyadh,21000,False
197,277,1282,Mercedes,E,2017,Other,White,Full,2.0,Gas,Automatic,65000,Dammam,163000,False
198,278,835,GMC,Sierra,2020,Saudi,Grey,Semi Full,5.3,Gas,Automatic,91000,Qassim,135000,False
199,280,2074,Chevrolet,Caprice,2013,Saudi,Silver,Standard,6.0,Gas,Automatic,124628,Riyadh,75000,False
200,281,5164,Chevrolet,Tahoe,2010,Saudi,Silver,Semi Full,5.3,Gas,Automatic,272000,Riyadh,40000,False
